SGOF
-- 
-- pyscal: v0.12
-- swirr=0, sgcr=0.05, swl=0, sorg=0.15, sgro=0, krgendanchor=sorg
-- Corey krg, ng=2.5, krgend=0.85, krgmax=1
-- Corey krog, nog=1.8, kroend=0.95
-- krg = krog @ sg=0.49555
-- Zero capillary pressure
-- SG     KRG       KROG      PC        
0.0000000 0.0000000 0.9500000 0.0000000
0.0500000 0.0000000 0.8517880 0.0000000
0.0600000 0.0000149 0.8327187 0.0000000
0.0700000 0.0000840 0.8138415 0.0000000
0.0800000 0.0002315 0.7951569 0.0000000
0.0900000 0.0004752 0.7766655 0.0000000
0.1000000 0.0008301 0.7583677 0.0000000
0.1100000 0.0013094 0.7402640 0.0000000
0.1200000 0.0019250 0.7223550 0.0000000
0.1300000 0.0026879 0.7046412 0.0000000
0.1400000 0.0036083 0.6871231 0.0000000
0.1500000 0.0046956 0.6698013 0.0000000
0.1600000 0.0059590 0.6526764 0.0000000
0.1700000 0.0074071 0.6357489 0.0000000
0.1800000 0.0090480 0.6190193 0.0000000
0.1900000 0.0108897 0.6024883 0.0000000
0.2000000 0.0129396 0.5861565 0.0000000
0.2100000 0.0152053 0.5700245 0.0000000
0.2200000 0.0176936 0.5540928 0.0000000
0.2300000 0.0204115 0.5383622 0.0000000
0.2400000 0.0233657 0.5228333 0.0000000
0.2500000 0.0265625 0.5075067 0.0000000
0.2600000 0.0300084 0.4923831 0.0000000
0.2700000 0.0337094 0.4774632 0.0000000
0.2800000 0.0376716 0.4627477 0.0000000
0.2900000 0.0419008 0.4482373 0.0000000
0.3000000 0.0464028 0.4339327 0.0000000
0.3100000 0.0511832 0.4198347 0.0000000
0.3200000 0.0562475 0.4059440 0.0000000
0.3300000 0.0616012 0.3922614 0.0000000
0.3400000 0.0672495 0.3787877 0.0000000
0.3500000 0.0731976 0.3655237 0.0000000
0.3600000 0.0794508 0.3524703 0.0000000
0.3700000 0.0860140 0.3396282 0.0000000
0.3800000 0.0928921 0.3269984 0.0000000
0.3900000 0.1000901 0.3145818 0.0000000
0.4000000 0.1076128 0.3023793 0.0000000
0.4100000 0.1154650 0.2903918 0.0000000
0.4200000 0.1236512 0.2786203 0.0000000
0.4300000 0.1321761 0.2670658 0.0000000
0.4400000 0.1410443 0.2557293 0.0000000
0.4500000 0.1502602 0.2446119 0.0000000
0.4600000 0.1598283 0.2337146 0.0000000
0.4700000 0.1697529 0.2230386 0.0000000
0.4800000 0.1800384 0.2125850 0.0000000
0.4900000 0.1906890 0.2023551 0.0000000
0.5000000 0.2017090 0.1923499 0.0000000
0.5100000 0.2131025 0.1825709 0.0000000
0.5200000 0.2248737 0.1730193 0.0000000
0.5300000 0.2370266 0.1636965 0.0000000
0.5400000 0.2495653 0.1546039 0.0000000
0.5500000 0.2624938 0.1457430 0.0000000
0.5600000 0.2758160 0.1371153 0.0000000
0.5700000 0.2895358 0.1287224 0.0000000
0.5800000 0.3036572 0.1205659 0.0000000
0.5900000 0.3181840 0.1126475 0.0000000
0.6000000 0.3331200 0.1049691 0.0000000
0.6100000 0.3484689 0.0975326 0.0000000
0.6200000 0.3642345 0.0903399 0.0000000
0.6300000 0.3804205 0.0833931 0.0000000
0.6400000 0.3970306 0.0766945 0.0000000
0.6500000 0.4140684 0.0702463 0.0000000
0.6600000 0.4315375 0.0640510 0.0000000
0.6700000 0.4494415 0.0581112 0.0000000
0.6800000 0.4677840 0.0524297 0.0000000
0.6900000 0.4865684 0.0470095 0.0000000
0.7000000 0.5057983 0.0418537 0.0000000
0.7100000 0.5254771 0.0369658 0.0000000
0.7200000 0.5456083 0.0323495 0.0000000
0.7300000 0.5661953 0.0280089 0.0000000
0.7400000 0.5872414 0.0239484 0.0000000
0.7500000 0.6087501 0.0201730 0.0000000
0.7600000 0.6307247 0.0166881 0.0000000
0.7700000 0.6531685 0.0134999 0.0000000
0.7800000 0.6760847 0.0106156 0.0000000
0.7900000 0.6994767 0.0080434 0.0000000
0.8000000 0.7233477 0.0057932 0.0000000
0.8100000 0.7477010 0.0038768 0.0000000
0.8200000 0.7725396 0.0023099 0.0000000
0.8300000 0.7978669 0.0011133 0.0000000
0.8400000 0.8236860 0.0003197 0.0000000
0.8500000 0.8500000 0.0000000 0.0000000
1.0000000 1.0000000 0.0000000 0.0000000
/
