SWOF
-- 
-- pyscal: v0.12
-- swirr=0.1 swl=0.1 swcr=0.15 sorw=0.2
-- Corey krw, nw=2, krwend=0.8, krwmax=1
-- Corey krow, now=2, kroend=0.9
-- krw = krow @ sw=0.47253
-- Zero capillary pressure
-- SW     KRW       KROW      PC        
0.1000000 0.0000000 0.9000000 0.0000000
0.1100000 0.0000000 0.8744694 0.0000000
0.1200000 0.0000000 0.8493061 0.0000000
0.1300000 0.0000000 0.8245102 0.0000000
0.1400000 0.0000000 0.8000816 0.0000000
0.1500000 0.0000000 0.7760204 0.0000000
0.1600000 0.0001893 0.7523265 0.0000000
0.1700000 0.0007574 0.7290000 0.0000000
0.1800000 0.0017041 0.7060408 0.0000000
0.1900000 0.0030296 0.6834490 0.0000000
0.2000000 0.0047337 0.6612245 0.0000000
0.2100000 0.0068166 0.6393674 0.0000000
0.2200000 0.0092781 0.6178775 0.0000000
0.2300000 0.0121183 0.5967551 0.0000000
0.2400000 0.0153373 0.5760000 0.0000000
0.2500000 0.0189349 0.5556122 0.0000000
0.2600000 0.0229112 0.5355918 0.0000000
0.2700000 0.0272663 0.5159388 0.0000000
0.2800000 0.0320000 0.4966531 0.0000000
0.2900000 0.0371124 0.4777347 0.0000000
0.3000000 0.0426035 0.4591837 0.0000000
0.3100000 0.0484734 0.4410000 0.0000000
0.3200000 0.0547219 0.4231837 0.0000000
0.3300000 0.0613491 0.4057347 0.0000000
0.3400000 0.0683550 0.3886531 0.0000000
0.3500000 0.0757396 0.3719388 0.0000000
0.3600000 0.0835030 0.3555918 0.0000000
0.3700000 0.0916450 0.3396122 0.0000000
0.3800000 0.1001657 0.3240000 0.0000000
0.3900000 0.1090651 0.3087551 0.0000000
0.4000000 0.1183432 0.2938775 0.0000000
0.4100000 0.1280000 0.2793674 0.0000000
0.4200000 0.1380355 0.2652245 0.0000000
0.4300000 0.1484497 0.2514490 0.0000000
0.4400000 0.1592426 0.2380408 0.0000000
0.4500000 0.1704142 0.2250000 0.0000000
0.4600000 0.1819645 0.2123265 0.0000000
0.4700000 0.1938935 0.2000204 0.0000000
0.4800000 0.2062012 0.1880816 0.0000000
0.4900000 0.2188876 0.1765102 0.0000000
0.5000000 0.2319527 0.1653061 0.0000000
0.5100000 0.2453964 0.1544694 0.0000000
0.5200000 0.2592189 0.1440000 0.0000000
0.5300000 0.2734201 0.1338980 0.0000000
0.5400000 0.2880000 0.1241633 0.0000000
0.5500000 0.3029586 0.1147959 0.0000000
0.5600000 0.3182959 0.1057959 0.0000000
0.5700000 0.3340118 0.0971633 0.0000000
0.5800000 0.3501065 0.0888980 0.0000000
0.5900000 0.3665799 0.0810000 0.0000000
0.6000000 0.3834320 0.0734694 0.0000000
0.6100000 0.4006627 0.0663061 0.0000000
0.6200000 0.4182722 0.0595102 0.0000000
0.6300000 0.4362604 0.0530816 0.0000000
0.6400000 0.4546272 0.0470204 0.0000000
0.6500000 0.4733728 0.0413265 0.0000000
0.6600000 0.4924970 0.0360000 0.0000000
0.6700000 0.5120000 0.0310408 0.0000000
0.6800000 0.5318817 0.0264490 0.0000000
0.6900000 0.5521420 0.0222245 0.0000000
0.7000000 0.5727811 0.0183674 0.0000000
0.7100000 0.5937988 0.0148775 0.0000000
0.7200000 0.6151953 0.0117551 0.0000000
0.7300000 0.6369704 0.0090000 0.0000000
0.7400000 0.6591243 0.0066122 0.0000000
0.7500000 0.6816568 0.0045918 0.0000000
0.7600000 0.7045681 0.0029388 0.0000000
0.7700000 0.7278580 0.0016531 0.0000000
0.7800000 0.7515266 0.0007347 0.0000000
0.7900000 0.7755740 0.0001837 0.0000000
0.8000000 0.8000000 0.0000000 0.0000000
0.8100000 0.8100000 0.0000000 0.0000000
0.8200000 0.8200000 0.0000000 0.0000000
0.8300000 0.8300000 0.0000000 0.0000000
0.8400000 0.8400000 0.0000000 0.0000000
0.8500000 0.8500000 0.0000000 0.0000000
0.8600000 0.8600000 0.0000000 0.0000000
0.8700000 0.8700000 0.0000000 0.0000000
0.8800000 0.8800000 0.0000000 0.0000000
0.8900000 0.8900000 0.0000000 0.0000000
0.9000000 0.9000000 0.0000000 0.0000000
0.9100000 0.9100000 0.0000000 0.0000000
0.9200000 0.9200000 0.0000000 0.0000000
0.9300000 0.9300000 0.0000000 0.0000000
0.9400000 0.9400000 0.0000000 0.0000000
0.9500000 0.9500000 0.0000000 0.0000000
0.9600000 0.9600000 0.0000000 0.0000000
0.9700000 0.9700000 0.0000000 0.0000000
0.9800000 0.9800000 0.0000000 0.0000000
0.9900000 0.9900000 0.0000000 0.0000000
1.0000000 1.0000000 0.0000000 0.0000000
/
